Link,Title,Rating,Price,NoReviews
./page12_files/61bcWVZ74SL._AC_UY218_.jpg,NORTH ZONE Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office,3.9 out of 5 stars,568,742
./page12_files/71N1yWUKwPL._AC_UY218_.jpg,"F Gear Fortune Navy Blue, Red 27 Liters Laptop Backpack (2700)",4.1 out of 5 stars,884,497
./page12_files/71b0Q6JMfXL._AC_UY218_.jpg,"POLESTAR Enzo 15.6 inch 35 LTR Casual Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Backpack, Water Resistant and Light Weight, 1 year Warranty",4.2 out of 5 stars,619,"3,870"
./page12_files/81E13F5s1GL._AC_UY218_.jpg,"Lunar's 35 L Laptop Office/School/Travel/Business Backpack Water Proof - Fits Up to 15.6 Inch Laptop Notebook, With Raincover, Inside Organiser and 1 Year Warranty (All)",3.8 out of 5 stars,849,"1,085"
./page12_files/61cULZnoIEL._AC_UY218_.jpg,"SKYTONE 12cms Large Capacity Cosmetic Travel Bag, Women's Makeup Travel Bag Portable Leather Cosmetics Bag, Makeup Storage Bags with Handle and Divider, Wide Opening Cosmetic/Makeup Organizer (L_Pink)",3.9 out of 5 stars,749,136
./page12_files/51MfOjhEAaL._AC_UY218_.jpg,"The Purple Tree Fatty Tote Bag For Women, Women Fatty Tote Bag, Handbag, Women Handbag, Women Bag, Handbag for Women, Women's Tote, Gift For Women A",4.1 out of 5 stars,599,373
./page12_files/71wwcvQcAsL._AC_UY218_.jpg,COSMUS Darwin Navy Blue Laptop Backpack for (15.6 inch),4.3 out of 5 stars,"1,333","9,976"
./page12_files/41rvhO3+oxL._AC_UY218_.jpg,"Nishi Medium Kids Backpack Waterproof Backpack, Girls & Women Stylish Trendy College, School & College Bag Black",3.3 out of 5 stars,369,24
./page12_files/61MWq9aSkFL._AC_UY218_.jpg,"House of Quirk Clear Toiletry Bag, Wash Make Up Bag PVC Waterproof Zippered Cosmetic Bag, Portable Carry Pouch for Women Men (Set of 3 Bag Black)",4.4 out of 5 stars,475,515
./page12_files/71+FCdcCGuL._AC_UY218_.jpg,"Vivinkaa Sling Bag for Women, Bags for Women, Sling Bag, Purse for Women, Sling Bag for Women Stylish, Sling Bag for Girls, Women Sling Bag, Bag for Girls - Indigo",3.8 out of 5 stars,549,"1,899"
./page12_files/91gkcsy8GdL._AC_UY218_.jpg,"Storite PU Leather 14 Inch Laptop Shoulder Messenger Sling Office Business Travel Bag for Men & Women (Brown, 40cm x 29cm x 6cm)",3.7 out of 5 stars,"1,059",411
./page12_files/61Ffarhk4yL._AC_UY218_.jpg,"Genie Flamenco Laptop Backpack for Women, 16 inches Office Bag, Sky Blue Stylish and Trendy Bag for Office and College",4.4 out of 5 stars,799,"2,993"
./page12_files/71ySo8RgpBL._AC_UY218_.jpg,F Gear Milestone Olive Casual 20 Ltrs Laptop Backpack (3376),4.0 out of 5 stars,"1,155",745
./page12_files/71a3nlXR2OL._AC_UY218_.jpg,ASIAN Sling Bag for Women - Handmade Bags for Females - Jute and Indian Fabric Slings - Side Bags for Mobile Phones and Wallets (Black),3.6 out of 5 stars,224,86
./page12_files/71fZ4nCbKvL._AC_UY218_.jpg,Fostelo Handbag For Women And Girls | Ladies Purse Faux Leather Satchel Bag | Wedding Gifts For Women | Women 3 Compartments Bag | Travel Purse Hobo Bag | 5 Pockets Shoulder Bag,4.1 out of 5 stars,669,"9,303"
./page12_files/81zW7SAOHVL._AC_UY218_.jpg,"Amazon Brand - Solimo Laptop Backpack for 15.6-inch Laptops (27 litres, Black)",3.9 out of 5 stars,549,"1,322"
