Link,Title,Rating,Price,NoReviews
./page2_files/61odaW2PSyL._AC_UY218_.jpg,Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,4.5 out of 5 stars,"1,999","7,037"
./page2_files/61v0-iGlR1L._AC_UY218_.jpg,"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",4.4 out of 5 stars,649,"3,041"
./page2_files/51S61p4YNVL._AC_UY218_.jpg,ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Grey),3.8 out of 5 stars,599,141
./page2_files/81KHT04JtvL._AC_UY218_.jpg,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,3.7 out of 5 stars,254,"6,446"
./page2_files/81BCsKS7WuL._AC_UY218_.jpg,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),4.3 out of 5 stars,"1,099","5,589"
./page2_files/81Yjmayg+ZL._AC_UY218_.jpg,"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L, Charcoal black",4.3 out of 5 stars,598,"10,922"
./page2_files/91x7qLAsTPL._AC_UY218_.jpg,Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Brown,4.4 out of 5 stars,988,"5,702"
./page2_files/61C+07k-y1L._AC_UY218_.jpg,"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",3.8 out of 5 stars,799,"2,708"
./page2_files/612drZiQM3L._AC_UY218_.jpg,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,3.9 out of 5 stars,749,"2,764"
./page2_files/81SBgVHpw1L._AC_UY218_.jpg,Zipline Unisex casual polyester 36 L Backpack School Bag Women Men Boys Girls children Daypack College Bag Book School Sports Bag Weekend Bag,4.0 out of 5 stars,834,"5,572"
./page2_files/814N3GkGHaL._AC_UY218_.jpg,Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,4.3 out of 5 stars,497,"12,760"
./page2_files/61xpAsIGqwL._AC_UY218_.jpg,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)",3.9 out of 5 stars,849,849
./page2_files/61TWJaaUMtL._AC_UY218_.jpg,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue, L (QUILL19CBBLU)",4.0 out of 5 stars,849,600
./page2_files/61ycJsc+yRL._AC_UY218_.jpg,"POLESTAR Vintage 15.6 inch 32 LTR Casual Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Backpack, Water Resistant and Light Weight, 1 year Warranty",3.9 out of 5 stars,549,"8,836"
./page2_files/61lIZLyw28L._AC_UY218_.jpg,ADISA Light Weight Laptop Backpack 32 Ltrs,4.0 out of 5 stars,499,"5,860"
./page2_files/81cB0YABm3L._AC_UY218_.jpg,"Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue",4.3 out of 5 stars,425,"12,760"
